Datetime,Datetime,Actual,Predicted,Error,Residual
2001-07-29 22:00:00,2001-07-29 22:00:00,28925.0,28488.657496823194,436.3425031768056,436.3425031768056
2001-07-29 23:00:00,2001-07-29 23:00:00,27311.0,27365.207314005213,-54.20731400521254,-54.20731400521254
2001-07-30 00:00:00,2001-07-30 00:00:00,25419.0,25280.260238001574,138.73976199842582,138.73976199842582
2001-07-30 01:00:00,2001-07-30 01:00:00,23842.0,23680.450188412844,161.549811587156,161.549811587156
2001-07-30 02:00:00,2001-07-30 02:00:00,22712.0,22708.32434160666,3.675658393338381,3.675658393338381
2001-07-30 03:00:00,2001-07-30 03:00:00,22237.0,22197.198247700042,39.801752299958025,39.801752299958025
2001-07-30 04:00:00,2001-07-30 04:00:00,22074.0,22124.64002283514,-50.64002283514128,-50.64002283514128
2001-07-30 05:00:00,2001-07-30 05:00:00,22584.0,22435.426702982237,148.57329701776325,148.57329701776325
2001-07-30 06:00:00,2001-07-30 06:00:00,24029.0,24460.459228076492,-431.45922807649185,-431.45922807649185
2001-07-30 07:00:00,2001-07-30 07:00:00,26408.0,26853.13669754946,-445.1366975494602,-445.1366975494602
2001-07-30 08:00:00,2001-07-30 08:00:00,29319.0,29361.168276099153,-42.168276099153445,-42.168276099153445
2001-07-30 09:00:00,2001-07-30 09:00:00,31694.0,31233.11056545907,460.8894345409317,460.8894345409317
2001-07-30 10:00:00,2001-07-30 10:00:00,33341.0,33235.441063163074,105.55893683692557,105.55893683692557
2001-07-30 11:00:00,2001-07-30 11:00:00,34557.0,34476.34558387323,80.65441612676659,80.65441612676659
2001-07-30 12:00:00,2001-07-30 12:00:00,35385.0,35133.875283219095,251.12471678090515,251.12471678090515
2001-07-30 13:00:00,2001-07-30 13:00:00,35727.0,35832.37320078438,-105.37320078437915,-105.37320078437915
2001-07-30 14:00:00,2001-07-30 14:00:00,36077.0,36152.117522000495,-75.11752200049523,-75.11752200049523
2001-07-30 15:00:00,2001-07-30 15:00:00,36273.0,36207.989291473255,65.01070852674457,65.01070852674457
2001-07-30 16:00:00,2001-07-30 16:00:00,36185.0,36086.07202941307,98.92797058692668,98.92797058692668
2001-07-30 17:00:00,2001-07-30 17:00:00,36220.0,35845.131698588244,374.86830141175597,374.86830141175597
2001-07-30 18:00:00,2001-07-30 18:00:00,35856.0,35844.44377088687,11.55622911312821,11.55622911312821
2001-07-30 19:00:00,2001-07-30 19:00:00,35045.0,35273.17897457049,-228.1789745704882,-228.1789745704882
2001-07-30 20:00:00,2001-07-30 20:00:00,33848.0,34588.32861284925,-740.3286128492473,-740.3286128492473
2001-07-30 21:00:00,2001-07-30 21:00:00,33908.0,34209.40561621575,-301.40561621575034,-301.40561621575034
2001-07-30 22:00:00,2001-07-30 22:00:00,33878.0,33026.93516876631,851.0648312336925,851.0648312336925
2001-07-30 23:00:00,2001-07-30 23:00:00,31239.0,31424.788692636695,-185.7886926366955,-185.7886926366955
2001-07-31 00:00:00,2001-07-31 00:00:00,28369.0,28579.196024660985,-210.19602466098513,-210.19602466098513
2001-07-31 01:00:00,2001-07-31 01:00:00,25903.0,26168.0377277551,-265.0377277551015,-265.0377277551015
2001-07-31 02:00:00,2001-07-31 02:00:00,24342.0,24893.02195726698,-551.0219572669812,-551.0219572669812
2001-07-31 03:00:00,2001-07-31 03:00:00,23591.0,23706.819356391643,-115.81935639164294,-115.81935639164294
2001-07-31 04:00:00,2001-07-31 04:00:00,23083.0,23456.20636544652,-373.20636544652007,-373.20636544652007
2001-07-31 05:00:00,2001-07-31 05:00:00,23362.0,23573.28879635074,-211.28879635073827,-211.28879635073827
2001-07-31 06:00:00,2001-07-31 06:00:00,24760.0,24999.069242489943,-239.06924248994255,-239.06924248994255
2001-07-31 07:00:00,2001-07-31 07:00:00,26941.0,27603.01860509332,-662.0186050933189,-662.0186050933189
2001-07-31 08:00:00,2001-07-31 08:00:00,29812.0,29919.24742687345,-107.24742687345133,-107.24742687345133
2001-07-31 09:00:00,2001-07-31 09:00:00,32109.0,32148.130609672175,-39.130609672174614,-39.130609672174614
2001-07-31 10:00:00,2001-07-31 10:00:00,33833.0,33413.268588764324,419.7314112356762,419.7314112356762
2001-07-31 11:00:00,2001-07-31 11:00:00,35239.0,35235.686288503515,3.313711496484757,3.313711496484757
2001-07-31 12:00:00,2001-07-31 12:00:00,36574.0,36309.218954566844,264.78104543315567,264.78104543315567
2001-07-31 13:00:00,2001-07-31 13:00:00,37275.0,37333.949448962274,-58.94944896227389,-58.94944896227389
2001-07-31 14:00:00,2001-07-31 14:00:00,38216.0,38114.28959987515,101.71040012485173,101.71040012485173
2001-07-31 15:00:00,2001-07-31 15:00:00,38723.0,38506.30242747957,216.697572520432,216.697572520432
2001-07-31 16:00:00,2001-07-31 16:00:00,39211.0,38906.59536742582,304.40463257418014,304.40463257418014
2001-07-31 17:00:00,2001-07-31 17:00:00,39486.0,39571.161330798495,-85.16133079849533,-85.16133079849533
2001-07-31 18:00:00,2001-07-31 18:00:00,39273.0,39460.27931022313,-187.27931022312987,-187.27931022312987
2001-07-31 19:00:00,2001-07-31 19:00:00,38116.0,38735.9534005436,-619.9534005435999,-619.9534005435999
2001-07-31 20:00:00,2001-07-31 20:00:00,36536.0,37209.057250947895,-673.0572509478952,-673.0572509478952
2001-07-31 21:00:00,2001-07-31 21:00:00,36210.0,36706.23963865394,-496.23963865394035,-496.23963865394035
2001-07-31 22:00:00,2001-07-31 22:00:00,35701.0,35482.288406453794,218.71159354620613,218.71159354620613
2001-07-31 23:00:00,2001-07-31 23:00:00,32842.0,32938.691815254184,-96.6918152541839,-96.6918152541839
2001-08-01 00:00:00,2001-08-01 00:00:00,29553.0,30253.27795330661,-700.2779533066096,-700.2779533066096
2001-08-01 01:00:00,2001-08-01 01:00:00,26928.0,27132.713722565695,-204.7137225656952,-204.7137225656952
2001-08-01 02:00:00,2001-08-01 02:00:00,25303.0,25633.490057971187,-330.4900579711866,-330.4900579711866
2001-08-01 03:00:00,2001-08-01 03:00:00,24293.0,24610.667797254282,-317.66779725428205,-317.66779725428205
2001-08-01 04:00:00,2001-08-01 04:00:00,23789.0,23819.509586654203,-30.509586654203304,-30.509586654203304
2001-08-01 05:00:00,2001-08-01 05:00:00,24002.0,24174.30012341009,-172.30012341008842,-172.30012341008842
